,rel606_gene_id,BLATTNER-ID,ECK_ID
213,ECB_RS01200,b0233,ECK120002737
214,ECB_RS01205,b0234,ECK120002738
215,ECB_RS01220,b0237,ECK120000687
216,ECB_RS01225,b0238,ECK120000407
217,ECB_RS01230,b0239,ECK120001079
218,ECB_RS01245,b0241,ECK120000720
219,ECB_RS01250,b0242,ECK120000759
220,ECB_RS01255,b0243,ECK120000758
221,ECB_RS01265,b0282,ECK120002773
222,ECB_RS01270,b0283,ECK120002774
223,ECB_RS01275,b0284,ECK120002775
224,ECB_RS01280,b0285,ECK120002776
225,ECB_RS01285,b0286,ECK120002777
226,ECB_RS01290,b0287,ECK120002778
227,ECB_RS01300,b0288,ECK120002779
228,ECB_RS01305,b0289,ECK120002780
229,ECB_RS01310,b0290,ECK120002781
230,ECB_RS01315,b0291,ECK120002782
231,ECB_RS01320,b0292,ECK120002783
232,ECB_RS01325,b0293,ECK120002784
233,ECB_RS01330,b0294,ECK120002785
234,ECB_RS01335,b0295,ECK120002786
235,ECB_RS01340,b4506,ECK120016286
236,ECB_RS01345,b0296,ECK120002787
237,ECB_RS01350,b4671,
238,ECB_RS01365,b0301,ECK120002791
239,ECB_RS01370,b0303,ECK120002792
240,ECB_RS01375,b0304,ECK120002793
241,ECB_RS01380,b0305,ECK120002794
242,ECB_RS01385,b0306,ECK120002795
243,ECB_RS01390,b0307,ECK120002796
244,ECB_RS01395,b0308,ECK120002797
245,ECB_RS01405,b0310,ECK120002799
246,ECB_RS01410,b0311,ECK120000105
247,ECB_RS01415,b0312,ECK120000106
248,ECB_RS01420,b0313,ECK120000107
249,ECB_RS01425,b0314,ECK120000108
250,ECB_RS25320,b4730,ECK125276505
251,ECB_RS01435,b0315,ECK120001214
252,ECB_RS01440,b0316,ECK120002800
253,ECB_RS01445,b0317,ECK120002801
254,ECB_RS01450,b0318,ECK120002802
255,ECB_RS01455,b0319,ECK120002803
256,ECB_RS01460,b0320,ECK120002804
257,ECB_RS01465,b0321,ECK120002805
258,ECB_RS01470,b0322,ECK120026444
259,ECB_RS01475,b0323,ECK120002806
260,ECB_RS01480,b0324,ECK120002807
261,ECB_RS01485,b0325,ECK120002808
262,ECB_RS01490,b0326,ECK120002809
263,ECB_RS01495,b0327,ECK120002810
264,ECB_RS01500,b0328,ECK120002811
265,ECB_RS01505,b0329,ECK120002812
266,ECB_RS01510,b0330,ECK120002813
267,ECB_RS01515,b0331,ECK120002814
268,ECB_RS01520,b0333,ECK120002815
269,ECB_RS01525,b0334,ECK120002816
270,ECB_RS01530,b0335,ECK120002817
271,ECB_RS01535,b0336,ECK120001298
272,ECB_RS01540,b0337,ECK120001297
273,ECB_RS01545,b0338,ECK120001385
274,ECB_RS01550,b0339,ECK120000171
275,ECB_RS01555,b0340,ECK120000170
276,ECB_RS01560,b0341,ECK120000172
277,ECB_RS01565,b0342,ECK120000517
278,ECB_RS01570,b0343,ECK120000519
279,ECB_RS01575,b0344,ECK120000520
280,ECB_RS01580,b0345,ECK120000518
281,ECB_RS01585,b0346,ECK120002818
282,ECB_RS01590,b0347,ECK120004469
283,ECB_RS01595,b0348,ECK120004470
284,ECB_RS01600,b0349,ECK120004471
285,ECB_RS01605,b0350,ECK120004472
286,ECB_RS01610,b0351,ECK120004473
287,ECB_RS01615,b0352,ECK120002819
288,ECB_RS01620,b0353,ECK120002820
289,ECB_RS01625,b0354,ECK120002821
290,ECB_RS01630,b0355,ECK120002822
291,ECB_RS01635,b0356,ECK120002569
292,ECB_RS01640,b0357,ECK120002823
293,ECB_RS01645,b0358,ECK120002824
294,ECB_RS01655,b0365,ECK120002831
295,ECB_RS01660,b0366,ECK120002832
296,ECB_RS01665,b0367,ECK120002833
297,ECB_RS01670,b0368,ECK120002281
298,ECB_RS01675,b0369,ECK120000421
299,ECB_RS01685,b0375,ECK120002839
300,ECB_RS01690,b0376,ECK120002410
301,ECB_RS01700,b0377,ECK120000917
302,ECB_RS01705,b0378,ECK120002840
303,ECB_RS01710,b0379,ECK120002841
304,ECB_RS25325,b0380,ECK120002842
305,ECB_RS01720,b0381,ECK120000207
306,ECB_RS01730,b0382,ECK120001231
307,ECB_RS01735,b0383,ECK120000718
308,ECB_RS01740,b0384,ECK120001367
309,ECB_RS01745,b0385,ECK120001232
310,ECB_RS01750,b0386,ECK120000760
311,ECB_RS01755,b0387,ECK120002843
312,ECB_RS01760,b0388,ECK120000078
313,ECB_RS01765,b0389,ECK120001081
314,ECB_RS01775,b0390,ECK120000079
315,ECB_RS01780,b0391,ECK120002056
316,ECB_RS25330,b4732,ECK125276524
317,ECB_RS01795,b0393,ECK120002055
318,ECB_RS01800,b0394,ECK120001261
319,ECB_RS01805,b0396,ECK120000056
320,ECB_RS01810,b0397,ECK120000916
321,ECB_RS01815,b0398,ECK120001082
322,ECB_RS01820,b0399,ECK120000719
323,ECB_RS01825,b0400,ECK120000724
324,ECB_RS01830,b0401,ECK120002064
325,ECB_RS01835,b0402,ECK120002845
326,ECB_RS01840,b0403,ECK120000558
327,ECB_RS01850,b0405,ECK120000803
328,ECB_RS01855,b0406,ECK120000985
329,ECB_RS01860,b0407,ECK120001084
330,ECB_RS01865,b0408,ECK120000927
331,ECB_RS01870,b0409,ECK120000929
332,ECB_RS01875,b0410,ECK120001085
333,ECB_RS01890,b0412,ECK120002413
334,ECB_RS01895,b0413,ECK120001291
335,ECB_RS01900,b0414,ECK120001292
336,ECB_RS01905,b0415,ECK120001293
337,ECB_RS01910,b0416,ECK120000659
338,ECB_RS01915,b0417,ECK120002846
339,ECB_RS01920,b0418,ECK120000696
340,ECB_RS01925,b0419,ECK120002847
341,ECB_RS01930,b0420,ECK120002848
342,ECB_RS01935,b0421,ECK120000501
343,ECB_RS01940,b0422,ECK120001086
344,ECB_RS01945,b0423,ECK120002849
345,ECB_RS01950,b0424,ECK120002673
346,ECB_RS01955,b0425,ECK120002850
347,ECB_RS01960,b0426,ECK120002851
348,ECB_RS01965,b0427,ECK120002852
349,ECB_RS01985,b0428,ECK120000177
350,ECB_RS01990,b0429,ECK120000176
351,ECB_RS01995,b0430,ECK120000175
352,ECB_RS02000,b0431,ECK120000174
353,ECB_RS02005,b0432,ECK120000173
354,ECB_RS02010,b0433,ECK120002076
355,ECB_RS02015,b0434,ECK120002075
356,ECB_RS02020,b0435,ECK120000121
357,ECB_RS02030,b0436,ECK120000992
358,ECB_RS02035,b0437,ECK120000154
359,ECB_RS02040,b0438,ECK120000155
360,ECB_RS02045,b0016,ECK120002703
361,ECB_RS02050,b0439,ECK120000535
362,ECB_RS02055,b0440,ECK120000460
363,ECB_RS02060,b0441,ECK120002853
364,ECB_RS02065,b0442,ECK120002854
365,ECB_RS02070,b0443,ECK120002855
366,ECB_RS02075,b0444,ECK120002856
367,ECB_RS02080,b0445,ECK120002431
368,ECB_RS02085,b0446,ECK120002857
369,ECB_RS02090,b0447,ECK120002858
370,ECB_RS02095,b0448,ECK120002859
371,ECB_RS02100,b0449,ECK120001570
372,ECB_RS02105,b0450,ECK120002080
373,ECB_RS02110,b0451,ECK120001753
374,ECB_RS02115,b0452,ECK120000984
375,ECB_RS02120,b0453,ECK120002860
376,ECB_RS02125,b0454,ECK120002861
377,ECB_RS02130,b0456,ECK120001087
378,ECB_RS02135,b0457,ECK120002862
379,ECB_RS02140,b0458,ECK120002863
380,ECB_RS02145,b0459,ECK120002699
381,ECB_RS02150,b0460,ECK120000432
382,ECB_RS02155,b0461,ECK120002285
383,ECB_RS02160,b0462,ECK120001647
384,ECB_RS02165,b0463,ECK120001646
385,ECB_RS02170,b0464,ECK120002020
386,ECB_RS02175,b0465,ECK120002864
387,ECB_RS02185,b0466,ECK120002390
388,ECB_RS02190,b0467,ECK120000756
389,ECB_RS02195,b0468,ECK120002396
390,ECB_RS02200,b0469,ECK120000047
391,ECB_RS02205,b0470,ECK120000239
392,ECB_RS02210,b0471,ECK120001088
393,ECB_RS02215,b0472,ECK120000825
394,ECB_RS02220,b0473,ECK120000454
395,ECB_RS02225,b0474,ECK120000029
396,ECB_RS02230,b0475,ECK120000424
397,ECB_RS02235,b0476,ECK120001089
398,ECB_RS02240,b0477,ECK120001090
399,ECB_RS02245,b0478,ECK120002335
400,ECB_RS02250,b0479,ECK120002865
401,ECB_RS02255,b0480,ECK120001049
402,ECB_RS02260,b0481,ECK120002303
403,ECB_RS02265,b0482,ECK120002866
404,ECB_RS02270,b0483,ECK120002867
405,ECB_RS02275,b0484,ECK120002868
406,ECB_RS02280,b0485,ECK120002869
407,ECB_RS02285,b0486,ECK120002870
408,ECB_RS02290,b0487,ECK120002871
409,ECB_RS02295,b0488,ECK120002872
410,ECB_RS02300,b0489,ECK120002873
411,ECB_RS02305,b0490,ECK120002874
412,ECB_RS02310,b0491,ECK120002875
413,ECB_RS02315,b0492,ECK120002876
414,ECB_RS02320,b0493,ECK120002877
415,ECB_RS02325,b0494,ECK120001496
416,ECB_RS02330,b0495,ECK120001600
417,ECB_RS02335,b0496,ECK120002878
418,ECB_RS02340,b0497,ECK120000840
419,ECB_RS02345,b0498,ECK120001705
420,ECB_RS02365,b0503,ECK120001704
421,ECB_RS02370,b0504,ECK120002882
422,ECB_RS02375,b0505,ECK120002883
423,ECB_RS02380,b0506,ECK120002884
424,ECB_RS02385,b0507,ECK120001534
425,ECB_RS02390,b0508,ECK120002885
426,ECB_RS02395,b0509,ECK120002886
427,ECB_RS02400,b0511,ECK120002888
428,ECB_RS02405,b0512,ECK120002889
429,ECB_RS02410,b0513,ECK120002890
430,ECB_RS02415,b0514,ECK120002891
431,ECB_RS02420,b0515,ECK120002892
432,ECB_RS02425,b0516,ECK120002893
433,ECB_RS02430,b0517,ECK120002894
434,ECB_RS02435,b0518,ECK120002895
435,ECB_RS02440,b4572,ECK120002896
436,ECB_RS02445,b0520,ECK120002897
437,ECB_RS02450,b0521,ECK120002249
438,ECB_RS02455,b0522,ECK120000787
439,ECB_RS02460,b0523,ECK120000784
440,ECB_RS02465,b0524,ECK120002352
441,ECB_RS02470,b0525,ECK120000749
442,ECB_RS02475,b0526,ECK120000191
443,ECB_RS02480,b0527,ECK120002366
444,ECB_RS02485,b0528,ECK120002418
445,ECB_RS02490,b0529,ECK120000322
446,ECB_RS02495,b0530,ECK120002898
447,ECB_RS02500,b0531,ECK120002899
448,ECB_RS02505,b0532,ECK120002900
449,ECB_RS02510,b0533,ECK120002901
450,ECB_RS02515,b0534,ECK120002253
451,ECB_RS02520,b0535,ECK120001091
452,ECB_RS02530,b0537,ECK120000500
453,ECB_RS02570,b0543,ECK120000622
454,ECB_RS25345,b4733,ECK125276534
455,ECB_RS02580,b0544,ECK120002908
456,ECB_RS02585,b0545,ECK120002909
457,ECB_RS02590,b0546,ECK120002910
458,ECB_RS24820,b4588,ECK120030068
459,ECB_RS02595,b0547,ECK120002911
460,ECB_RS02600,b0548,ECK120002912
461,ECB_RS02605,b0549,ECK120002913
462,ECB_RS02610,b0550,ECK120002914
463,ECB_RS02615,b4509,ECK120016287
464,ECB_RS02620,b0551,ECK120002915
465,ECB_RS02640,b0554,ECK120002917
466,ECB_RS02645,b0555,ECK120002918
467,ECB_RS24830,b4510,ECK120016288
468,ECB_RS02655,b0557,ECK120002920
469,ECB_RS02665,b4589,ECK120030069
470,ECB_RS02715,b0564,ECK120000046
471,ECB_RS02720,b0565,ECK120000666
472,ECB_RS02730,b0566,ECK120000262
473,ECB_RS02735,b0567,ECK120002300
474,ECB_RS02740,b0568,ECK120001679
475,ECB_RS02750,b3484,ECK120001479
476,ECB_RS02780,b0570,ECK120002926
477,ECB_RS02785,b0571,ECK120002927
478,ECB_RS02790,b0572,ECK120002928
479,ECB_RS02795,b0573,ECK120002929
480,ECB_RS02800,b0574,ECK120002930
481,ECB_RS02805,b0575,ECK120002235
482,ECB_RS02810,b0576,ECK120000700
483,ECB_RS02815,b0577,ECK120002931
484,ECB_RS02820,b0578,ECK120002564
485,ECB_RS02825,b0579,ECK120002932
486,ECB_RS02830,b0580,ECK120002933
487,ECB_RS02835,b0581,ECK120002934
488,ECB_RS02860,b4415,ECK120002654
489,ECB_RS02865,b0016,ECK120002703
490,ECB_RS02870,b0583,ECK120000256
491,ECB_RS02875,b0584,ECK120000287
492,ECB_RS02880,b0585,ECK120000293
493,ECB_RS02885,b4511,ECK120016289
494,ECB_RS02890,b0586,ECK120000258
495,ECB_RS02895,b0587,ECK120000291
496,ECB_RS02900,b0588,ECK120000289
497,ECB_RS02905,b0589,ECK120000292
498,ECB_RS02910,b0590,ECK120000290
499,ECB_RS02915,b0591,ECK120001092
500,ECB_RS02920,b0592,ECK120000288
501,ECB_RS02925,b0593,ECK120000255
502,ECB_RS02930,b0594,ECK120000257
503,ECB_RS02935,b0595,ECK120000254
504,ECB_RS02940,b0596,ECK120000253
505,ECB_RS02945,b0597,ECK120001093
506,ECB_RS02955,b4512,ECK120016290
507,ECB_RS02960,b0599,ECK120002357
508,ECB_RS02965,b0600,ECK120002936
509,ECB_RS02970,b0601,ECK120002937
510,ECB_RS02985,b0604,ECK120002940
511,ECB_RS02990,b0605,ECK120001351
512,ECB_RS02995,b0606,ECK120001352
513,ECB_RS03000,b0607,ECK120002941
514,ECB_RS03005,b0608,ECK120002942
515,ECB_RS03015,b0610,ECK120002944
516,ECB_RS03020,b0611,ECK120000847
517,ECB_RS03025,b0612,ECK120002945
518,ECB_RS03030,b0613,ECK120002946
519,ECB_RS03035,b0614,ECK120002947
520,ECB_RS03040,b0615,ECK120002948
521,ECB_RS03045,b0616,ECK120002949
522,ECB_RS03050,b0617,ECK120002950
523,ECB_RS03055,b0618,ECK120002951
524,ECB_RS03065,b0619,ECK120002952
525,ECB_RS03070,b0620,ECK120002953
526,ECB_RS03075,b0621,ECK120002954
527,ECB_RS03080,b0622,ECK120002073
528,ECB_RS03085,b0623,ECK120002072
529,ECB_RS03090,b0624,ECK120002096
530,ECB_RS03100,b0627,ECK120001278
531,ECB_RS03105,b0628,ECK120001279
532,ECB_RS03110,b0629,ECK120001542
533,ECB_RS03120,b0630,ECK120001540
534,ECB_RS03125,b0631,ECK120001541
535,ECB_RS03130,b0632,ECK120000195
536,ECB_RS03135,b0633,ECK120000845
537,ECB_RS03140,b0634,ECK120000600
538,ECB_RS03145,b0635,ECK120000599
539,ECB_RS03150,b0636,ECK120001229
540,ECB_RS03155,b0637,ECK120001230
541,ECB_RS03160,b0638,ECK120002956
542,ECB_RS03165,b0639,ECK120002957
543,ECB_RS03170,b0640,ECK120001378
544,ECB_RS03175,b0641,ECK120000846
545,ECB_RS03180,b0642,ECK120000525
546,ECB_RS03185,b0643,ECK120002400
547,ECB_RS03195,b0645,ECK120002959
548,ECB_RS03205,b0650,ECK120002964
549,ECB_RS03210,b0651,ECK120002965
550,ECB_RS24860,,
551,ECB_RS03235,b0653,ECK120002350
552,ECB_RS03240,b0654,ECK120002349
553,ECB_RS03245,b0655,ECK120002966
554,ECB_RS03255,b0657,ECK120000164
555,ECB_RS03260,b0658,ECK120002968
556,ECB_RS03265,b0659,ECK120002969
557,ECB_RS03270,b0660,ECK120002970
558,ECB_RS03275,b0661,ECK120002971
559,ECB_RS03280,b0662,ECK120002972
560,ECB_RS03320,b0674,ECK120000088
561,ECB_RS03325,b0675,ECK120000627
562,ECB_RS03330,b0676,ECK120000629
563,ECB_RS03335,b0677,ECK120000625
564,ECB_RS03340,b0678,ECK120000626
565,ECB_RS03345,b0679,ECK120000628
566,ECB_RS03350,b0680,ECK120000383
567,ECB_RS03355,b0681,ECK120002973
568,ECB_RS03360,b0682,ECK120002974
569,ECB_RS03365,b0683,ECK120000352
570,ECB_RS03370,b4637,ECK120029856
571,ECB_RS03380,b0684,ECK120000312
572,ECB_RS03385,b0685,ECK120001709
573,ECB_RS03390,b0686,ECK120001710
574,ECB_RS03395,b0687,ECK120002086
575,ECB_RS03400,b0688,ECK120002045
576,ECB_RS03405,b0689,ECK120002975
577,ECB_RS03420,b0692,ECK120000744
578,ECB_RS03425,b0693,ECK120000953
579,ECB_RS24870,b4590,ECK120030070
580,ECB_RS03435,b0694,ECK120000510
581,ECB_RS03440,b0695,ECK120000509
582,ECB_RS03445,b0696,ECK120000508
583,ECB_RS03450,b0697,ECK120000507
584,ECB_RS03455,b0698,ECK120000506
585,ECB_RS03460,b4513,ECK120016291
586,ECB_RS03465,b0699,ECK120001475
587,ECB_RS03480,b0702,ECK120001476
588,ECB_RS03490,b0704,ECK120001477
589,ECB_RS03515,b0707,ECK120001094
590,ECB_RS03520,b0708,ECK120000727
591,ECB_RS03525,b0709,ECK120002978
592,ECB_RS03530,b0710,ECK120002979
593,ECB_RS03535,b0711,ECK120002980
594,ECB_RS03540,b0712,ECK120002981
595,ECB_RS03545,b0713,ECK120002982
596,ECB_RS03550,b0714,ECK120002983
597,ECB_RS03555,b0715,ECK120002984
598,ECB_RS03560,b0716,ECK120002985
599,ECB_RS03565,b0717,ECK120002986
600,ECB_RS03570,b0718,ECK120002987
601,ECB_RS03580,b0720,ECK120000395
602,ECB_RS25355,b4735,ECK125276522
603,ECB_RS03590,b0721,ECK120000922
604,ECB_RS03595,b0722,ECK120000923
605,ECB_RS03600,b0723,ECK120000920
606,ECB_RS03605,b0724,ECK120000921
607,ECB_RS03615,b0726,ECK120000968
608,ECB_RS03620,b0727,ECK120000969
609,ECB_RS03625,b0728,ECK120000970
610,ECB_RS03630,b0729,ECK120000971
611,ECB_RS03635,b0730,ECK120001095
612,ECB_RS03640,b0731,ECK120002432
613,ECB_RS03645,b0732,ECK120002433
614,ECB_RS03655,b0733,ECK120000168
615,ECB_RS03660,b0734,ECK120000169
616,ECB_RS03665,b4515,ECK120016293
617,ECB_RS03670,b0735,ECK120002258
618,ECB_RS03675,b0736,ECK120001096
619,ECB_RS03680,b0737,ECK120000999
620,ECB_RS03685,b0738,ECK120001000
621,ECB_RS03690,b0739,ECK120000996
622,ECB_RS03695,b0740,ECK120000997
623,ECB_RS03700,b0741,ECK120000677
624,ECB_RS03705,b0742,ECK120002402
625,ECB_RS03745,b0750,ECK120000623
626,ECB_RS03750,b0751,ECK120001643
627,ECB_RS03755,b0752,ECK120002993
628,ECB_RS03760,b0753,ECK120002994
629,ECB_RS03770,b0754,ECK120000075
630,ECB_RS03775,b0755,ECK120001642
631,ECB_RS03780,b0756,ECK120001641
632,ECB_RS03785,b0757,ECK120000356
633,ECB_RS03790,b0758,ECK120000359
