target_id	length	eff_length	est_counts	tpm
ECB_00059	816	648.59	1	1.18749
ECB_00060	660	492.59	4	6.25422
ECB_00061	2907	2739.59	1	0.281134
ECB_00062	2352	2184.59	2	0.705113
ECB_00063	696	528.59	1	1.45707
ECB_00064	1503	1335.59	1	0.576668
ECB_00065	1701	1533.59	3	1.50664
ECB_00066	879	711.59	5	5.41176
ECB_00067	765	597.59	16	20.6213
ECB_00068	699	531.59	0	0
ECB_00069	1611	1443.59	2	1.06705
ECB_00070	984	816.59	1	0.94318
ECB_00071	1656	1488.59	8	4.13917
ECB_00072	1179	1011.59	2	1.52273
ECB_00073	606	438.59	8	14.0485
ECB_00074	1401	1233.59	7	4.37045
ECB_00075	1092	924.59	3	2.49903
ECB_00076	1572	1404.59	11	6.03173
ECB_00077	87	9.96522	301	23263.7
ECB_00078	945	777.59	1	0.990485
ECB_00079	1725	1557.59	11	5.43924
ECB_00080	492	324.847	1	2.37094
ECB_00081	1005	837.59	12	11.0344
ECB_00082	459	292.063	22	58.0156
ECB_00083	942	774.59	24	23.8637
ECB_00084	366	200.853	17	65.1882
ECB_00085	1767	1599.59	219	105.447
ECB_00086	1488	1320.59	10	5.83218
ECB_00087	1359	1191.59	13	8.40263
ECB_00088	1083	915.59	12	10.0944
ECB_00089	1317	1149.59	3	2.00991
ECB_00090	1245	1077.59	12	8.57682
ECB_00091	1068	900.59	8	6.84166
ECB_00092	1476	1308.59	7	4.11996
ECB_00093	921	753.59	15	15.3305
ECB_00094	831	663.59	9	10.4458
ECB_00095	1263	1095.59	14	9.8419
ECB_00096	1152	984.59	15	11.7337
ECB_00097	918	750.59	154	158.022
ECB_00098	513	345.747	6	13.3657
ECB_00099	2706	2538.59	23	6.97805
ECB_00100	390	223.966	0	0
ECB_00101	198	57.4165	1	13.4141
ECB_00102	744	576.59	3	4.00731
ECB_00103	621	453.59	6	10.1879
ECB_00104	1044	876.59	6	5.27173
ECB_00105	1203	1035.59	2	1.48745
ECB_00106	1386	1218.59	7	4.42425
ECB_00107	441	274.205	1	2.80881
ECB_00108	894	726.59	4	4.24003
ECB_00109	552	384.673	2	4.0044
ECB_00110	855	687.59	7	7.84092
ECB_00111	1374	1206.59	31	19.788
ECB_00112	765	597.59	7	9.02181
ECB_00113	2664	2496.59	20	6.16995
ECB_00114	1893	1725.59	8	3.57068
ECB_00115	1425	1257.59	31	18.9855
ECB_00116	1854	1686.59	4	1.82662
ECB_00117	2598	2430.59	52	16.4775
ECB_00118	363	197.993	6	23.3399
ECB_00119	795	627.59	3	3.68166
ECB_00120	867	699.59	3	3.30276
ECB_00121	348	183.477	3	12.5933
ECB_00122	1551	1383.59	3	1.66999
ECB_00123	2391	2223.59	55	19.0505
ECB_00124	537	369.711	5	10.4161
ECB_00125	663	495.59	22	34.19
ECB_00126	927	759.59	7	7.0977
ECB_00127	771	603.59	13	16.5882
ECB_00128	441	274.205	3	8.42644
ECB_00129	1230	1062.59	6	4.34895
ECB_00130	381	215.099	25	89.5159
ECB_00131	903	735.59	3	3.14112
ECB_00132	852	684.59	13	14.6255
ECB_00133	795	627.59	2	2.45444
ECB_00134	1347	1179.59	20	13.0586
ECB_00135	597	429.59	4	7.17141
ECB_00136	603	435.59	0	0
ECB_00137	570	402.633	4	7.65156
ECB_00138	2601	2433.59	6	1.8989
ECB_00139	741	573.59	0	0
ECB_00140	585	417.633	1	1.84419
ECB_00141	480	312.973	0	0
ECB_00142	1365	1197.59	11	7.0743
ECB_00143	927	759.59	3	3.04187
ECB_00144	456	289.121	166	442.209
ECB_00145	705	537.59	138	197.709
ECB_00146	531	363.711	1	2.11759
ECB_00147	2430	2262.59	2	0.680805
ECB_00148	2526	2358.59	9	2.93893
ECB_00149	2244	2076.59	36	13.3521
ECB_00150	798	630.59	0	0
ECB_00151	891	723.59	0	0
ECB_00152	1983	1815.59	4	1.69684
ECB_00153	1281	1113.59	23	15.9075
ECB_00154	1422	1254.59	35	21.4865
ECB_00155	345	180.569	118	503.313
ECB_00156	624	456.59	1	1.68683
ECB_00157	801	633.59	0	0
ECB_00158	699	531.59	23	33.3234
ECB_00159	1518	1350.59	10	5.70263
ECB_00160	1425	1257.59	21	12.8611
ECB_00161	1158	990.59	3	2.33252
ECB_00162	387	221.033	166	578.429
ECB_00163	813	645.59	1	1.193
ECB_00164	825	657.59	46	53.8767
ECB_00165	2673	2505.59	9	2.7665
ECB_00166	795	627.59	17	20.8628
ECB_00167	726	558.59	3	4.13644
ECB_00168	852	684.59	13	14.6255
ECB_00169	726	558.59	5	6.89407
ECB_00170	558	390.673	139	274.032
ECB_00171	1197	1029.59	13	9.72474
ECB_00172	762	594.59	6	7.77199
ECB_00173	858	690.59	13	14.4985
ECB_00174	1353	1185.59	15	9.74441
ECB_00175	2433	2265.59	32	10.8785
ECB_00176	486	318.879	41	99.0278
ECB_00177	1026	858.59	15	13.4556
ECB_00178	456	289.121	6	15.9834
ECB_00179	789	621.59	7	8.67347
ECB_00180	1149	981.59	5	3.92318
ECB_00181	597	429.59	2	3.5857
ECB_00182	3483	3315.59	18	4.18129
ECB_00183	960	792.59	17	16.5196
ECB_00184	2142	1974.59	11	4.29057
ECB_00185	390	223.966	4	13.7555
ECB_00186	1299	1131.59	3	2.04188
ECB_00187	255	99.2425	10	77.6071
ECB_00188	201	59.3883	20	259.375
ECB_00189	546	378.711	4	8.13488
ECB_00190	423	256.526	3	9.00719
ECB_00191	711	543.59	12	17.0023
ECB_00192	825	657.59	4	4.68493
ECB_00193	1719	1551.59	14	6.94944
ECB_00194	708	540.59	43	61.2631
ECB_00195	405	238.874	0	0
ECB_00196	816	648.59	15	17.8123
ECB_00197	654	486.59	10	15.8283
ECB_00198	1032	864.59	2	1.78163
ECB_00199	573	405.633	5	9.49371
ECB_00200	804	636.59	13	15.7283
ECB_00201	915	747.59	6	6.1814
ECB_00202	801	633.59	20	24.312
ECB_00203	624	456.59	14	23.6157
ECB_00204	1359	1191.59	18	11.6344
ECB_00205	756	588.59	27	35.3305
ECB_00206	723	555.59	20	27.7252
ECB_00207	468	301.034	8	20.4679
ECB_00208	732	564.59	15	20.4624
ECB_00209	786	618.59	5	6.22538
ECB_00210	276	116.855	1.55556	10.2526
ECB_00211	504	336.781	0.00168583	0.00385536
ECB_00212	372	206.648	1	3.72707
ECB_00213	1137	969.59	6	4.76609
ECB_00214	771	603.59	9	11.4842
ECB_00215	474	306.973	4	10.036
ECB_00216	2445	2277.59	460	155.554
ECB_00217	579	411.633	10	18.7107
ECB_00218	768	600.59	2	2.56478
ECB_00219	741	573.59	2	2.68551
ECB_00220	279	119.62	5	32.1932
ECB_00221	261	104.129	67	495.568
ECB_00222	750	582.59	1	1.32201
ECB_00223	498	330.814	5	11.6409
ECB_00226	1056	888.59	4	3.46703
ECB_00227	294	133.043	6	34.7342
ECB_00228	399	232.897	1	3.307
ECB_00229	453	286.121	4	10.7674
ECB_00230	267	109.086	2	14.1208
ECB_00231	501	333.814	0	0
ECB_00232	1458	1290.59	32	19.0968
ECB_00233	459	292.063	2	5.27415
ECB_00234	1245	1077.59	7	5.00315
ECB_00235	402	235.897	75	244.871
ECB_00236	276	116.855	0.311111	2.05053
ECB_00237	504	336.781	14.4255	32.9901
ECB_00238	1038	870.59	2	1.76936
ECB_00239	1104	936.59	2	1.64467
ECB_00240	1254	1086.59	12	8.50578
ECB_00241	411	244.777	2	6.29302
ECB_00242	957	789.59	0	0
ECB_00243	2199	2031.59	3	1.13732
ECB_00244	957	789.59	2	1.95086
ECB_00245	690	522.59	1	1.4738
ECB_00246	615	447.59	30	51.6226
ECB_00247	330	166.216	4	18.5348
ECB_00248	711	543.59	3	4.25058
ECB_00249	1644	1476.59	0	0
ECB_00250	2526	2358.59	8	2.61238
ECB_00251	669	501.59	3	4.6065
ECB_00252	636	468.59	0	0
ECB_00253	591	423.59	1	1.81825
ECB_00254	228	78.575	4	39.208
ECB_00255	264	106.669	6	43.3222
ECB_00256	4257	4089.59	5	0.941649
ECB_00257	852	684.59	9	10.1254
ECB_00258	594	426.59	2	3.61092
ECB_00259	237	85.1981	0	0
ECB_00260	1326	1158.59	16	10.6363
ECB_00261	855	687.59	2	2.24026
ECB_00262	720	552.59	2	2.78757
ECB_00263	1428	1260.59	2	1.22195
ECB_00264	696	528.59	1	1.45707
ECB_00265	213	67.3778	0	0
ECB_00266	669	501.59	1	1.5355
ECB_00267	1671	1503.59	2	1.02447
ECB_00268	1473	1305.59	7	4.12943
ECB_00269	588	420.633	9	16.4793
ECB_00270	2034	1866.59	15	6.1893
ECB_00271	1089	921.59	2	1.67144
ECB_00272	933	765.59	5	5.03005
ECB_00273	498	330.814	1	2.32817
ECB_00274	606	438.59	1	1.75606
ECB_00275	864	696.59	0	0
ECB_00276	1548	1380.59	4	2.23149
ECB_00277	1419	1251.59	2	1.23074
ECB_00278	951	783.59	1	0.982901
ECB_00279	1383	1215.59	3	1.90078
ECB_00280	1050	882.59	7	6.10855
ECB_00281	816	648.59	7	8.3124
ECB_00282	246	92.403	3	25.0054
ECB_00283	672	504.59	15	22.8956
ECB_00284	276	116.855	1838	12114.2
ECB_00285	1587	1419.59	9	4.88291
ECB_00286	891	723.59	76	80.8946
ECB_00287	1170	1002.59	38	29.1917
ECB_00288	1452	1284.59	25	14.9891
ECB_00289	1887	1719.59	15	6.71839
ECB_00290	1260	1092.59	1	0.704923
ECB_00291	1284	1116.59	2	1.37954
ECB_00292	900	732.59	1	1.05133
ECB_00293	660	492.59	1	1.56355
ECB_00294	471	304.004	2	5.06699
ECB_00295	1155	987.59	9	7.01883
ECB_00296	612	444.59	243	420.964
ECB_00297	1254	1086.59	502	355.825
ECB_00298	3075	2907.59	1286	340.649
ECB_00299	1083	915.59	6	5.04718
ECB_00300	948	780.59	67	66.1075
ECB_00301	1665	1497.59	0	0
ECB_00302	945	777.59	1	0.990485
ECB_00303	882	714.59	1	1.07781
ECB_00304	810	642.59	0	0
ECB_00305	951	783.59	0	0
ECB_00306	1014	846.59	0	0
ECB_00307	1212	1044.59	1	0.737315
ECB_00308	540	372.711	10	20.6646
ECB_00309	834	666.59	11	12.7096
ECB_00310	1110	942.59	3	2.4513
ECB_00311	276	116.855	0	0
ECB_00312	774	606.59	13	16.5062
ECB_00313	504	336.781	1.45979	3.33842
ECB_00314	276	116.855	1.55556	10.2526
ECB_00315	963	795.59	1	0.968076
ECB_00316	768	600.59	0	0
ECB_00317	828	660.59	1	1.16591
ECB_00318	852	684.59	2	2.25008
ECB_00319	975	807.59	12	11.4443
ECB_00320	198	57.4165	0	0
ECB_00321	2907	2739.59	29	8.15289
ECB_00322	669	501.59	5	7.6775
ECB_00323	1158	990.59	13	10.1076
ECB_00324	1221	1053.59	9	6.57915
ECB_00325	1095	927.59	4	3.32126
ECB_00326	309	146.509	8	42.0557
ECB_00327	213	67.3778	24	274.342
ECB_00328	1095	927.59	9	7.47283
ECB_00329	261	104.129	20	147.931
ECB_00330	1416	1248.59	3	1.85055
ECB_00331	321	157.658	151	737.667
ECB_00332	1116	948.59	2	1.62387
ECB_00333	810	642.59	3	3.59572
ECB_00334	459	292.063	3	7.91122
ECB_00335	525	357.747	4	8.61159
ECB_00336	192	53.8172	264	3778.17
ECB_00337	678	510.59	10	15.0843
ECB_00338	285	125.008	58	357.345
ECB_00339	282	122.33	2	12.592
ECB_00340	504	336.781	1.45979	3.33842
ECB_00341	276	116.855	1.55556	10.2526
ECB_00342	912	744.59	3	3.10315
ECB_00343	909	741.59	3	3.1157
ECB_00344	1185	1017.59	4	3.02751
ECB_00345	3147	2979.59	2	0.516978
ECB_00346	1203	1035.59	3	2.23117
ECB_00347	690	522.59	3	4.42139
ECB_00348	1296	1128.59	6	4.09462
ECB_00349	1320	1152.59	20	13.3645
ECB_00350	1374	1206.59	2	1.27664
ECB_00351	1818	1650.59	2	0.933232
ECB_00353	1071	903.59	5	4.26184
ECB_00354	1128	960.59	4	3.20716
ECB_00355	333	169.114	15	68.3142
ECB_00356	1848	1680.59	10	4.58287
ECB_00357	972	804.59	17	16.2732
ECB_00358	348	183.477	17	71.362
ECB_00359	774	606.59	13	16.5062
ECB_00360	540	372.711	8	16.5317
ECB_00361	450	283.15	1	2.72009
ECB_00362	1104	936.59	3	2.46701
ECB_00363	471	304.004	0	0
ECB_00364	420	253.577	5	15.1865
ECB_00365	978	810.59	3	2.85049
ECB_00366	519	351.747	25	54.7405
ECB_00367	975	807.59	20	19.0738
ECB_00368	1863	1695.59	4	1.81693
ECB_00369	900	732.59	3	3.15398
ECB_00370	243	90.0205	1	8.55574
ECB_00371	1449	1281.59	6	3.60579
ECB_00372	591	423.59	5	9.09124
ECB_00373	912	744.59	23	23.7908
ECB_00374	492	324.847	20	47.4188
ECB_00375	1365	1197.59	8	5.14494
ECB_00376	936	768.59	3	3.00625
ECB_00377	543	375.711	6	12.2998
ECB_00378	378	212.185	6	21.7789
ECB_00379	891	723.59	43	45.7693
ECB_00380	330	166.216	3	13.9011
ECB_00381	615	447.59	6	10.3245
ECB_00382	1992	1824.59	20	8.44235
ECB_00383	948	780.59	44	43.4139
ECB_00384	1476	1308.59	1	0.588566
ECB_00385	579	411.633	1	1.87107
ECB_00386	318	154.832	4780	23777.5
ECB_00387	1299	1131.59	10	6.80628
ECB_00388	624	456.59	68	114.705
ECB_00389	1275	1107.59	257	178.712
ECB_00390	1113	945.59	4.6	3.74674
ECB_00391	2355	2187.59	5	1.76037
ECB_00392	273	114.17	45	303.571
ECB_00393	1872	1704.59	26	11.7477
ECB_00394	372	206.648	0	0
ECB_00395	399	232.897	9	29.763
ECB_00396	696	528.59	16	23.3131
ECB_00397	1701	1533.59	49	24.6085
ECB_00398	819	651.59	12	14.1842
ECB_00399	459	292.063	11	29.0078
ECB_00400	1773	1605.59	6	2.87816
ECB_00401	1782	1614.59	11	5.24722
ECB_00402	339	174.73	0	0
ECB_00403	1287	1119.59	5	3.43961
ECB_00404	861	693.59	12	13.3253
ECB_00405	573	405.633	65	123.418
ECB_00406	390	223.966	2	6.87775
ECB_00407	354	189.326	16	65.0892
ECB_00408	1551	1383.59	51	28.3898
ECB_00409	471	304.004	2	5.06699
ECB_00410	552	384.673	23	46.0506
ECB_00411	219	71.704	91	977.455
ECB_00412	375	209.418	426	1566.73
ECB_00413	3150	2982.59	54	13.9444
ECB_00414	1194	1026.59	14	10.5034
ECB_00415	648	480.59	13	20.8337
ECB_00416	3363	3195.59	8	1.92814
ECB_00417	162	36.7031	2	41.9688
ECB_00418	528	360.711	2	4.27041
ECB_00419	378	212.185	1	3.62981
ECB_00420	552	384.673	0	0
ECB_00421	1932	1764.59	2	0.872941
ECB_00422	330	166.216	6	27.8021
ECB_00423	606	438.59	4	7.02425
ECB_00424	1875	1707.59	20	9.0208
ECB_00425	645	477.59	4	6.45065
ECB_00426	963	795.59	24	23.2338
ECB_00427	960	792.59	6	5.83044
ECB_00428	1305	1137.59	1	0.677038
ECB_00429	1677	1509.59	8	4.08159
ECB_00430	1221	1053.59	1	0.731017
ECB_00431	1653	1485.59	22	11.4057
ECB_00432	480	312.973	3	7.38267
ECB_00433	795	627.59	3	3.68166
ECB_00434	342	177.623	15	65.0416
ECB_00435	2505	2337.59	14	4.61274
ECB_00436	933	765.59	0	0
ECB_00437	1293	1125.59	6	4.10554
ECB_00438	408	241.85	5	15.9229
ECB_00439	456	289.121	15	39.9586
ECB_00440	918	750.59	56	57.4624
ECB_00441	678	510.59	5	7.54217
ECB_00442	780	612.59	4	5.02908
ECB_00443	855	687.59	7	7.84092
ECB_00444	810	642.59	6	7.19144
ECB_00445	627	459.59	10	16.7582
ECB_00446	687	519.59	3	4.44692
ECB_00447	2415	2247.59	2	0.685349
ECB_00448	4281	4113.59	7.14345	1.33748
ECB_00449	369	203.751	0	0
ECB_00450	711	543.59	3	4.25058
ECB_00451	261	104.129	0	0
ECB_00452	372	206.648	1	3.72707
ECB_00453	1095	927.59	2	1.66063
ECB_00454	927	759.59	2	2.02791
ECB_00455	483	315.879	0	0
ECB_00456	816	648.59	1079	1281.3
ECB_00457	1782	1614.59	9	4.29318
ECB_00458	777	609.59	0	0
ECB_00459	879	711.59	0	0
ECB_00460	279	119.62	0	0
ECB_00461	1455	1287.59	6	3.58899
ECB_00462	1362	1194.59	36	23.2104
ECB_00463	1302	1134.59	2	1.35766
ECB_00464	1146	978.59	2	1.57408
ECB_00465	786	618.59	9	11.2057
ECB_00466	1236	1068.59	3	2.16227
ECB_00467	1050	882.59	0	0
ECB_00468	1668	1500.59	1	0.513259
ECB_00469	1260	1092.59	2	1.40985
ECB_00470	720	552.59	1	1.39378
ECB_00471	894	726.59	0	0
ECB_00472	1068	900.59	0	0
ECB_00473	510	342.747	0	0
ECB_00474	723	555.59	0	0
ECB_00475	495	327.847	35	82.2235
ECB_00476	1386	1218.59	2	1.26407
ECB_00477	522	354.747	1	2.1711
ECB_00478	213	67.3778	1	11.4309
ECB_00479	867	699.59	3	3.30276
ECB_00480	543	375.711	0	0
ECB_00481	693	525.59	2	2.93077
ECB_00482	2610	2442.59	2	0.630635
ECB_00483	978	810.59	0	0
ECB_00484	516	348.747	1	2.20846
ECB_00485	633	465.59	1	1.65423
ECB_00486	1164	996.59	5	3.86414
ECB_00487	402	235.897	1	3.26494
ECB_00488	219	71.704	1	10.7413
ECB_00489	315	152.129	1	5.06276
ECB_00490	366	200.853	0	0
ECB_00492	186	50.257	0	0
ECB_00493	333	169.114	8	36.4343
ECB_00494	1527	1359.59	6	3.39893
ECB_00495	552	384.673	22	44.0484
ECB_00496	798	630.59	99	120.917
ECB_00497	456	289.121	0	0
ECB_00498	171	41.5268	0	0
ECB_00499	291	130.37	0	0
ECB_00500	363	197.993	0	0
ECB_00501	141	26.1835	0	0
ECB_00502	384	218.099	3	10.5942
ECB_00504	504	336.781	0.00965665	0.022084
ECB_00505	276	116.855	1.55556	10.2526
ECB_00506	216	69.4648	2	22.175
ECB_00507	498	330.814	0	0
ECB_00508	462	295.034	1	2.61052
ECB_00509	294	133.043	15	86.8354
ECB_00510	195	55.5416	1	13.8669
ECB_00511	576	408.633	0	0
ECB_00512	2817	2649.59	7.07973	2.05796
ECB_00513	2346	2178.59	6	2.12117
ECB_00514	282	122.33	0	0
ECB_00515	705	537.59	1	1.43267
ECB_00516	294	133.043	0	0
ECB_00517	336	171.958	1	4.47895
ECB_00518	750	582.59	2	2.64403
ECB_00519	954	786.59	35	34.2703
ECB_00520	762	594.59	2	2.59066
ECB_00521	891	723.59	2	2.12881
ECB_00522	2973	2805.59	4	1.09808
ECB_00524	171	41.5268	0	0
ECB_00525	1137	969.59	4	3.17739
ECB_00526	162	36.7031	0	0
ECB_00527	291	130.37	0	0
ECB_00528	261	104.129	0	0
ECB_00529	558	390.673	2	3.9429
ECB_00530	1599	1431.59	1	0.537997
ECB_00531	1449	1281.59	1	0.600966
ECB_00532	684	516.59	1	1.49091
ECB_00533	1374	1206.59	148	94.4715
ECB_00534	333	169.114	11	50.0971
ECB_00535	1224	1056.59	7	5.10259
ECB_00536	3144	2976.59	16	4.14
ECB_00537	1377	1209.59	9	5.73064
ECB_00538	1248	1080.59	4	2.851
ECB_00539	654	486.59	5	7.91417
ECB_00540	369	203.751	3	11.3402
ECB_00541	249	94.8357	12	97.4559
ECB_00542	1119	951.59	80	64.7499
ECB_00543	522	354.747	1.4	3.03955
ECB_00545	504	336.781	0.00965665	0.022084
ECB_00546	276	116.855	1.55556	10.2526
ECB_00547	153	31.7637	0	0
ECB_00548	1113	945.59	4.6	3.74674
ECB_00549	630	462.59	0	0
ECB_00550	2241	2073.59	3	1.11429
ECB_00551	1125	957.59	1	0.804302
ECB_00552	219	71.704	0	0
ECB_00553	3882	3714.59	3	0.622027
ECB_00554	1134	966.59	0	0
ECB_00555	816	648.59	1	1.18749
ECB_00556	993	825.59	3	2.7987
ECB_00557	1005	837.59	3	2.7586
ECB_00558	1251	1083.59	4	2.84311
ECB_00559	957	789.59	4	3.90173
ECB_00560	1176	1008.59	2	1.52726
ECB_00561	1611	1443.59	2	1.06705
ECB_00562	858	690.59	0	0
ECB_00563	747	579.59	1	1.32886
ECB_00564	414	247.678	2	6.21931
ECB_00566	198	57.4165	12	160.97
ECB_00567	1089	921.59	6	5.01432
ECB_00568	1161	993.59	7	5.42612
ECB_00569	630	462.59	3	4.99486
ECB_00570	1062	894.59	3	2.58283
ECB_00571	504	336.781	1.45979	3.33842
ECB_00572	276	116.855	1.55556	10.2526
ECB_00573	762	594.59	10	12.9533
ECB_00574	564	396.673	42	81.5485
ECB_00575	1566	1398.59	16	8.81107
ECB_00576	429	262.421	363	1065.38
ECB_00577	1239	1071.59	4	2.87495
ECB_00578	411	244.777	1	3.14651
ECB_00579	807	639.59	35	42.1468
ECB_00580	1464	1296.59	4	2.37605
ECB_00581	879	711.59	0	0
ECB_00582	552	384.673	2	4.0044
ECB_00583	1533	1365.59	1	0.563999
ECB_00584	909	741.59	0	0
ECB_00585	297	135.67	0	0
ECB_00586	1059	891.59	20	17.2768
ECB_00587	504	336.781	1.45979	3.33842
ECB_00588	276	116.855	1.55556	10.2526
ECB_00589	1659	1491.59	6	3.09814
ECB_00590	681	513.59	0	0
ECB_00591	1386	1218.59	5	3.16018
ECB_00592	561	393.673	2	3.91286
ECB_00593	210	65.3156	1665	19633.4
ECB_00594	384	218.099	5	17.6569
ECB_00595	789	621.59	20	24.7813
ECB_00596	204	61.2905	34	427.252
ECB_00597	966	798.59	45	43.3998
ECB_00598	954	786.59	4	3.91661
ECB_00599	642	474.59	0	0
ECB_00600	264	106.669	5	36.1018
ECB_00601	1212	1044.59	5	3.68657
ECB_00602	1089	921.59	5	4.1786
ECB_00603	1113	945.59	2	1.62902
ECB_00604	1902	1734.59	3	1.33206
ECB_00605	468	301.034	1	2.55849
ECB_00606	318	154.832	4	19.8975
ECB_00607	612	444.59	2	3.46473
ECB_00608	642	474.59	2	3.24571
ECB_00609	1032	864.59	8	7.12654
ECB_00610	582	414.633	8	14.8602
ECB_00611	2583	2415.59	15	4.78263
ECB_00612	483	315.879	108	263.331
ECB_00614	708	540.59	0	0
ECB_00615	1140	972.59	4	3.16759
ECB_00616	1671	1503.59	1	0.512235
ECB_00617	936	768.59	2	2.00417
ECB_00619	522	354.747	1.4	3.03955
ECB_00620	852	684.59	12	13.5005
ECB_00621	675	507.59	11	16.6908
ECB_00622	741	573.59	19	25.5124
ECB_00623	909	741.59	698	724.92
ECB_00624	1878	1710.59	9	4.05224
ECB_00625	1539	1371.59	5	2.80766
ECB_00626	879	711.59	26	28.1412
ECB_00627	468	301.034	20	51.1698
ECB_00628	1080	912.59	35	29.5387
ECB_00629	1425	1257.59	15	9.18652
ECB_00630	1176	1008.59	39	29.7817
ECB_00631	1665	1497.59	9	4.62859
ECB_00632	753	585.59	6	7.89144
ECB_00633	1221	1053.59	10	7.31017
ECB_00634	1149	981.59	16	12.5542
ECB_00635	801	633.59	15	18.234
ECB_00636	1947	1779.59	57	24.6691
ECB_00637	1665	1497.59	8	4.1143
ECB_00638	1407	1239.59	25	15.5332
ECB_00639	327	163.366	1	4.71452
ECB_00640	447	280.15	224	615.824
ECB_00641	531	363.711	34	71.9982
ECB_00642	294	133.043	1	5.78903
ECB_00643	765	597.59	1	1.28883
ECB_00644	546	378.711	12	24.4047
ECB_00645	1641	1473.59	17	8.88528
ECB_00646	495	327.847	5	11.7462
ECB_00647	651	483.59	1	1.59265
ECB_00648	1320	1152.59	9	6.01404
ECB_00649	2199	2031.59	3	1.13732
ECB_00650	258	101.669	0	0
ECB_00651	678	510.59	1	1.50843
ECB_00652	2688	2520.59	12	3.66672
ECB_00653	573	405.633	1	1.89874
ECB_00654	2049	1881.59	2	0.818661
ECB_00655	1674	1506.59	0	0
ECB_00656	90	10.4362	0	0
ECB_00657	207	63.3667	1	12.1545
ECB_00658	1665	1497.59	2	1.02857
ECB_00659	327	163.366	1	4.71452
ECB_00660	1434	1266.59	4.49145	2.73117
ECB_00661	570	402.633	1	1.91289
ECB_00662	276	116.855	2	13.182
ECB_00663	279	119.62	0	0
ECB_00664	243	90.0205	0	0
ECB_00666	762	594.59	2	2.59066
ECB_00667	510	342.747	10	22.4712
ECB_00668	1422	1254.59	2	1.2278
ECB_00669	1482	1314.59	4	2.34352
ECB_00670	744	576.59	10	13.3577
ECB_00671	657	489.59	5	7.86568
ECB_00672	933	765.59	5	5.03005
ECB_00673	735	567.59	7	9.49865
ECB_00674	792	624.59	3	3.69935
ECB_00675	1047	879.59	9	7.88063
ECB_00676	1062	894.59	17	14.636
ECB_00677	732	564.59	1	1.36416
ECB_00678	2451	2283.59	3	1.01182
ECB_00679	567	399.673	0	0
ECB_00680	1284	1116.59	44	30.3499
ECB_00681	390	223.966	7	24.0721
ECB_00682	348	183.477	3	12.5933
ECB_00683	1767	1599.59	9	4.33344
ECB_00684	717	549.59	7	9.80975
ECB_00685	2802	2634.59	19	5.55443
ECB_00686	1218	1050.59	15	10.9966
ECB_00687	1167	999.59	11	8.47558
ECB_00688	870	702.59	11	12.0584
ECB_00689	723	555.59	6	8.31755
ECB_00690	1977	1809.59	1	0.425617
ECB_00691	2634	2466.59	1	0.31225
ECB_00692	1569	1401.59	135	74.1842
ECB_00693	1140	972.59	63	49.8895
ECB_00694	114	14.594	36	1899.89
ECB_00695	294	133.043	20	115.781
ECB_00696	405	238.874	9	29.0184
